178,1.5729033718,2015-05-05
179,2.818849738,2015-05-05
180,0.8314737674,2015-05-05
181,2.4840062165,2015-05-05
182,4.7156887168,2015-05-05
183,3.8808686328,2015-05-05
184,1.3472281972,2015-05-05
185,80.8722291462,2015-05-05
186,11.577632744,2015-05-05
187,14.0533651791,2015-05-05
188,12.5073706735,2015-05-05
189,1.5184281631,2015-05-05
190,38.4533070038,2015-05-05
191,25.8500806722,2015-05-05
192,84.6029755093,2015-05-05
193,1.3052716144,2015-05-05
194,1.9193386468,2015-05-05
195,25.9606197247,2015-05-05
196,4.0226767374,2015-05-05
197,913.064536848,2015-05-05
198,101.29204996,2015-05-05
199,6.3713830042,2015-05-05
200,20.5543374037,2015-05-05
201,3.0688374824,2015-05-05
202,10.2626320922,2015-05-05
203,2.7502036729,2015-05-05
204,45.1077818523,2015-05-05
205,3.8925679764,2015-05-05
206,4.2755893819,2015-05-05
207,1.0744941141,2015-05-05
208,15.1223171189,2015-05-05
209,28.6011658718,2015-05-05
210,1.783801078,2015-05-05
211,1.0218129018,2015-05-05
212,14.7164272396,2015-05-05
213,6.219868284,2015-05-05
214,79.2976459187,2015-05-05
215,2.0588980484,2015-05-05
216,7.0333400164,2015-05-05
217,2.1709954476,2015-05-05
218,48.7990368307,2015-05-05
219,5.32415797,2015-05-05
220,12.8737322644,2015-05-05
221,2.0135877874,2015-05-05
222,48.5237499317,2015-05-05
223,107.844392061,2015-05-05
224,7.1320136075,2015-05-05
225,7.1182470138,2015-05-05
226,104.877810812,2015-05-05
227,10.2003768256,2015-05-05
228,8.3712923714,2015-05-05
229,25.9728632435,2015-05-05
230,31.595133001,2015-05-05
231,1.2850567906,2015-05-05
232,43.3485613866,2015-05-05
233,13.4444668546,2015-05-05
234,7.1970445272,2015-05-05
235,113.599788907,2015-05-05
236,12.0994337432,2015-05-05
237,7.1427114279,2015-05-05
238,6.4343999456,2015-05-05
239,16.5780845037,2015-05-05
240,3.3885586398,2015-05-05
241,5.9841940516,2015-05-05
242,23.6873814074,2015-05-05
243,5.1214408192,2015-05-05
244,5.2941264138,2015-05-05
245,3.4003812009,2015-05-05
246,14.7432017554,2015-05-05
247,22.0751728598,2015-05-05
248,1.558499671,2015-05-05
249,12.486003792,2015-05-05
250,131.864443659,2015-05-05
251,3.8911309356,2015-05-05
252,18.6382551918,2015-05-05
253,2.6702339475,2015-05-05
254,2.4992002579,2015-05-05
255,24.8604945977,2015-05-05
256,4.562393555,2015-05-05
257,7.0615077708,2015-05-05
258,4.197467491,2015-05-05
259,1.8269706794,2015-05-05
260,13.7118953571,2015-05-05
261,102.895459113,2015-05-05
262,39.9542416909,2015-05-05
263,56.1474831735,2015-05-05
264,7.3869389314,2015-05-05
265,11.0234268194,2015-05-05
266,32.5387568213,2015-05-05
267,2.36905476,2015-05-05
268,16.3272178566,2015-05-05
269,3.1872329222,2015-05-05
270,7.129332675,2015-05-05
271,7.5783131383,2015-05-05
272,9.4377228067,2015-05-05
273,4.8440457619,2015-05-05
274,4.8220145522,2015-05-05
275,2.1168677099,2015-05-05
276,73.5827244162,2015-05-05
277,3.4893087775,2015-05-05
278,8.7568231411,2015-05-05
279,3.2475449391,2015-05-05
280,50.5391774557,2015-05-05
281,6.37780198,2015-05-05
282,2.0701980606,2015-05-05
283,266.47664882,2015-05-05
284,6.8053460489,2015-05-05
285,3.791331244,2015-05-05
286,64.0457151269,2015-05-05
287,3.0141443564,2015-05-05
288,3.5946739252,2015-05-05
289,6.1790793912,2015-05-05
290,4.0741744196,2015-05-05
291,4.745544823,2015-05-05
292,29.8438515756,2015-05-05
293,73.9311252758,2015-05-05
294,3.0449032136,2015-05-05
295,2.4543792358,2015-05-05
296,1.9298625656,2015-05-05
297,115.937951114,2015-05-05
298,6.6341506351,2015-05-05
299,12.7972916875,2015-05-05
300,17.162029507,2015-05-05
301,44.0202124399,2015-05-05
302,3.5822125113,2015-05-05
303,19.5941951166,2015-05-05
304,10.3945579498,2015-05-05
