104	pitzer.edu	Pitzer College	匹泽学院	
105	providence.edu	Providence College	普罗维登斯学院	
106	lawrence.edu	Lawrence University	劳伦斯大学	
107	iub.edu	Indiana University Bloomington	印地安那大学伯明顿分校	 
108	umn.edu	University of Minnesota Twin Cities	明尼苏达双城大学	 
109	stolaf.edu	Saint Olaf College	圣奥拉夫学院	
110	hampshire.edu	Hampshire College	罕布什尔学院	
111	kzoo.edu	Kalamazoo College	卡拉马祖学院	
112	pepperdine.edu	Pepperdine University	佩珀代因大学	
113	ucdavis.edu	University of California Davis	美国加州大学戴维斯分校	 
114	uscga.edu	United States Coast Guard Academy	美国海岸警卫学院	 
115	lclark.edu	Lewis & Clark College	路易克拉克大学	
116	ucsb.edu	University of California Santa Barbara	加利福尼亚大学圣塔芭芭拉分校	 
117	vt.edu	Virginia Tech	弗吉尼亚理工大学	 
118	colorado.edu	University of Colorado Boulder	科罗拉多大学波尔得分校	 
119	purdue.edu	Purdue University West Lafayette	普渡大学西拉法叶校区	 
120	yu.edu	Yeshiva University	叶史瓦大学	
121	muhlenberg.edu	Muhlenberg College	穆伦堡学院	
122	gwu.edu	George Washington University	乔治华盛顿大学	
123	redlands.edu	University of Redlands	雷德兰兹大学	
124	coa.edu	College of the Atlantic	大西洋学院	
125	bennington.edu	Bennington College	本宁顿学院	
126	ucsd.edu	University of California San Diego	加利福尼亚大学圣地亚哥分校	 
127	case.edu	Case Western Reserve University	凯斯西储大学	
128	miami.edu	University of Miami	迈阿密大学	Florida
129	vmi.edu	Virginia Military Institute	弗吉尼亚军事学院	 
130	willamette.edu	Willamette University	威拉米特大学	
131	rpi.edu	Rensselaer Polytechnic Institute	伦斯勒理工学院	
132	trinity.edu	Trinity University	美国三一大学	TX
133	juniata.edu	Juniata College	杰尼阿塔学院	
134	american.edu	American University	美国大学 American University	Washington DC
135	udel.edu	University of Delaware	特拉华大学	 
136	wooster.edu	College of Wooster	伍斯特学院	
137	tamu.edu	Texas A&M University College Station	德克萨斯农工大学	 
138	stlawu.edu	Saint Lawrence University	圣劳伦斯大学	
139	du.edu	University of Denver	丹佛大学	 
140	uvm.edu	University of Vermont	佛蒙特大学	 
141	utah.edu	University of Utah	犹他大学	 
142	presby.edu	Presbyterian College	长老会学院	
143	drake.edu	Drake University	德雷克大学	
144	uci.edu	University of California Irvine	加州大学欧文分校	 
145	owu.edu	Ohio Wesleyan University	俄亥俄卫斯理大学	
146	clarku.edu	Clark University	克拉克大学	
147	tulane.edu	Tulane University	杜兰大学	
148	gcc.edu	Grove City College	格罗夫城市学院	
149	knox.edu	Knox College	诺克斯学院	
150	fordham.edu	Fordham University	福特汉姆大学	
151	smcvt.edu	Saint Michael's College	圣迈克尔学院	Vermont
152	hendrix.edu	Hendrix College	亨德里克斯学院	
153	mines.edu	Colorado School of Mines	科罗拉多矿业学院	  
154	bard.edu	Bard College	巴德学院	
155	osu.edu	Ohio State University	俄亥俄州立大学哥伦布分校	
156	creighton.edu	Creighton University	克赖顿大学	
157	calpoly.edu	California Polytechnic State University	加州州立理工大学	 
158	syr.edu	Syracuse University	雪城大学	
159	thomasaquinas.edu	Thomas Aquinas College	托马斯阿奎那斯学院	
160	hws.edu	Hobart and William Smith Colleges	霍巴特和威廉史密斯学院	
161	westmont.edu	Westmont College	韦斯特蒙特学院	
162	stjohnscollege.edu	Saint John's College	圣约翰学院 马里兰州	MD
163	clemson.edu	Clemson University	克莱姆森大学	
164	uconn.edu	University of Connecticut	康涅狄格大学	 
165	beloit.edu	Beloit College	伯洛伊特学院	
166	psu.edu	Pennsylvania State University University Park	宾夕法尼亚州立大学大学城分校	 
167	ncsu.edu	North Carolina State University Raleigh	北卡罗莱纳州立大学罗利分校	 
168	tcnj.edu	College of New Jersey	新泽西学院	
169	msu.edu	Michigan State University	密歇根州立大学	  
170	loyola.edu	Loyola University Maryland	洛约拉大学马里兰分校	
171	hsc.edu	Hampden Sydney College	汉普顿悉尼学院	
172	hope.edu	Hope College	霍普学院	
173	wpi.edu	Worcester Polytechnic Institute	伍斯特理工学院	
174	binghamton.edu	Binghamton University	宾厄姆顿大学	
175	wheatoncollege.edu	Wheaton College	惠顿学院 马萨诸塞州	Massachusetts
176	miamioh.edu	Miami University Oxford	迈阿密大学牛津分校	
177	rutgers.edu	Rutgers University New Brunswick	罗格斯大学 新不伦瑞克	
178	hillsdale.edu	Hillsdale College	希尔斯代尔学院	
179	wabash.edu	Wabash College	瓦巴什学院	
180	ncf.edu	New College of Florida	新佛罗里达学院	 
181	pugetsound.edu	University of Puget Sound	普吉特湾大学	
182	elon.edu	Elon University	依隆大学	
183	lmu.edu	Loyola Marymount University	洛约拉马利蒙特大学	
184	transy.edu	Transylvania University	特兰西瓦尼亚大学	
185	unh.edu	University of New Hampshire	新罕布什尔大学	 
186	sc.edu	University of South Carolina Columbia	南卡罗来纳大学哥伦比亚	 
187	up.edu	University of Portland	波特兰大学	
188	jmu.edu	James Madison University	詹姆斯麦迪逊大学	
189	anselm.edu	Saint Anselm College	圣安瑟伦学院	
190	lsu.edu	Louisiana State University	路易斯安那州立大学	
191	slu.edu	Saint Louis University	圣路易斯大学	MO
192	uiowa.edu	University of Iowa	爱荷华大学	 
193	ursinus.edu	Ursinus College	尤西纽斯学院 	
194	cofo.edu	College of the Ozarks	奥沙克学院	
195	baylor.edu	Baylor University	贝勒大学	
196	bentley.edu	Bentley University	本特利大学	
197	southwestern.edu	Southwestern University	西南大学 美国	TX
198	pitt.edu	University of Pittsburgh	匹兹堡大学	 
199	manhattan.edu	Manhattan College	曼哈顿学院	
200	uwyo.edu	University of Wyoming	怀俄明大学	 
201	gustavus.edu	Gustavus Adolphus College	古斯塔夫阿道尔夫学院	
202	ou.edu	University of Oklahoma Norman	俄克拉何马州诺曼大学	 
203	samford.edu	Samford University	桑佛德大学	
204	auburn.edu	Auburn University	奥本大学	
205	carroll.edu	Carroll College	卡罗尔学院	
206	cua.edu	The Catholic University of America	美国天主教大学	
207	smcm.edu	Saint Mary's College	马里兰州圣玛丽学院	MD
208	marquette.edu	Marquette University	马凯特大学	
209	northeastern.edu	Northeastern University	美国东北大学	
210	wittenberg.edu	Wittenberg University	维滕贝格大学	
211	usmma.edu	United States Merchant Marine Academy	美国商船学院	 
212	udallas.edu	University of Dallas	达拉斯大学	 
213	utulsa.edu	University of Tulsa	塔尔萨大学	
214	usfca.edu	University of San Francisco	旧金山大学	-California
215	cuny.edu	CUNY City College	纽约城市大学城市学院	
216	tcu.edu	Texas Christian University	德克萨斯基督教大学	 
217	csbsju.edu	Saint John's University	圣约翰大学 明尼苏达	MN
218	ucsc.edu	University of California Santa Cruz	加利福尼亚大学圣塔克鲁兹分校	 
219	stmarys-ca.edu	Saint Mary's College	加州圣玛丽学院	CA
220	calvin.edu	Calvin College	卡尔文学院	
221	stonehill.edu	Stonehill College	斯通希尔学院	
222	umass.edu	University of Massachusetts Amherst	马萨诸塞大学阿默斯特分校	 
223	sandiego.edu	University of San Diego 	圣地亚哥大学	-California
224	rollins.edu	Rollins College	罗林斯学院	
225	allegheny.edu	Allegheny College	阿勒格尼学院	
226	fsu.edu	Florida State University	佛罗里达州立大学	 
227	sju.edu	Saint Joseph's University	圣约瑟夫大学	PA
228	emerson.edu	Emerson College	爱默生学院	
229	stthomas.edu	University of Saint Thomas	圣托马斯大学	Minnesota
230	missouri.edu	University of Missouri Columbia	密苏里大学哥伦比亚分校	 
231	whitworth.edu	Whitworth University	惠氏大学	
232	gmu.edu	George Mason University	乔治梅森大学	
233	clarkson.edu	Clarkson University	克拉克森大学	
234	fairfield.edu	Fairfield University	费尔菲尔德大学	
235	uoregon.edu	University of Oregon	俄勒冈大学	 
236	lakeforest.edu	Lake Forest College	森林湖学院	
237	luther.edu	Luther College	路德学院	
238	gonzaga.edu	Gonzaga University	冈萨加大学	
239	butler.edu	Butler University	巴特勒大学	
240	linfield.edu	Linfield College	林菲尔德学院	
241	esf.edu	College of Environmental Science and Forestry	纽约州立大学环境科学与林业科学学院	
242	udayton.edu	University of Dayton	代顿大学	
