english_phrase 	 chinese_phrase 	 bd_index_common 	 bd_index_chinese 	 bd_news_common 	 bd_news_chinese 	 gg_index_common 	 gg_new 	 gg_hk 	 gg_site 	 bd_site 	 yj_index_eng 	 china_media_index	 asia_media_index	 japan_media_index
"Mentor Graphics" pcb  	  明导国际 pcb  	 0.635962 	 0.895149 	 1.639344 	 4.583333 	 1.953801 	 2.213963 	 1.953764 	 1.786339 	 2.362470 	 2.050286 	 83.795831 	 101.350657 	 60.196586
"Cadence Design" pcb  	  铿腾电子 pcb  	 1.224723 	 0.290362 	 1.786885 	 0.000000 	 0.854788 	 0.530058 	 0.849018 	 13.971489 	 3.301131 	 0.949606 	 80.389044 	 132.078874 	 92.679659
"Synopsys" pcb  	  新思科技 pcb  	 0.504298 	 1.554479 	 1.475410 	 4.583333 	 1.160069 	 5.510666 	 1.155892 	 0.813364 	 0.596946 	 1.246358 	 74.222398 	 97.101745 	 58.417607
"PDF Solutions" pcb  	  普迪飞 pcb  	 2.633279 	 0.000786 	 0.016393 	 0.000000 	 0.025695 	 0.008080 	 0.332447 	 0.029736 	 0.016137 	 0.029136 	 6.930827 	 12.195170 	 3.882126
"ALTIUM " pcb  	  澳大利亚奥腾 pcb  	 2.484225 	 0.062243 	 6.803279 	 0.000000 	 2.849293 	 1.971558 	 2.797668 	 2.295785 	 1.835133 	 3.053847 	 62.487906 	 111.842477 	 76.794167
"Zuken" pcb  	  图研 pcb  	 0.150792 	 20.533881 	 0.081967 	 0.416667 	 0.630915 	 0.210084 	 0.634206 	 0.055536 	 0.092600 	 0.674436 	 173.317782 	 136.752833 	 32.422484
"ASM Assembly" pcb  	  "ASM ""先进装配系统""" pcb  	 0.069807 	 2.197767 	 0.000000 	 0.000000 	 0.400427 	 0.074337 	 0.407119 	 0.048977 	 0.112850 	 0.079314 	 21.637065 	 18.823992 	 6.447880

Average  	 Value  	 402540.000000 	 62336.000000 	 122.000000 	 2.400000 	 196540.000000 	 618.800000 	 195520.000000 	 45736.000000 	 9481.600000 	 185340.000000 	 71.825836 	 87.163678 	 47.262930
