K_ID,id
1027,1
1019,2
1024,3
1021,4
1028,5
1022,6
1026,7
1020,8
1025,9
1031,10
1061,11
1029,12
1030,13
1038,14
1057,15
1063,16
1042,17
1034,18
1035,19
1023,20
1036,21
1050,22
1033,23
1032,24
1043,25
1045,26
1046,27
1044,28
1041,29
1059,30
1037,31
1051,32
1039,33
1049,34
1072,35
1053,36
1040,37
1054,38
1067,39
1047,40
1062,41
1087,42
1068,43
1052,44
1048,45
1083,46
1080,47
1066,48
1077,49
1056,50
1094,51
1070,52
1089,53
1055,54
1065,55
1104,56
1076,57
1082,58
1060,59
1125,60
1078,61
1079,62
1075,63
1085,64
1058,65
1100,66
1064,67
1071,68
1113,69
1086,70
1097,71
1074,72
1073,73
1069,74
1116,75
1084,76
1088,77
1081,78
1093,79
1135,80
1098,81
1091,82
1096,83
1120,84
1137,85
1090,86
1092,87
1122,88
1103,89
1101,90
1110,91
1164,92
1166,93
1108,94
1148,95
1106,96
1102,97
1109,98
1149,99
1162,100
1099,101
1133,102
1131,103
1136,104
1169,105
1185,106
1115,107
1127,108
1139,109
1165,110
1138,111
1118,112
1117,113
1112,114
1202,115
1114,116
1128,117
1119,118
1124,119
1153,120
1234,121
1095,122
1224,123
1222,124
1163,125
1132,126
1107,127
1142,128
1105,129
1151,130
1123,131
1160,132
1196,133
1134,134
1144,135
1182,136
1140,137
1147,138
1121,139
1174,140
1161,141
1270,142
1180,143
1130,144
1218,145
1168,146
1146,147
1210,148
1228,149
1181,150
1277,151
1176,152
1129,153
1184,154
1156,155
1152,156
1188,157
1141,158
1319,159
1126,160
1231,161
1191,162
1171,163
1158,164
1313,165
1111,166
1178,167
1192,168
1172,169
1145,170
1207,171
1240,172
1154,173
1157,174
1318,175
1173,176
1143,177
1214,178
1159,179
1320,180
1179,181
1251,182
1167,183
1233,184
1175,185
1208,186
1189,187
1186,188
1300,189
1197,190
1225,191
1201,192
1280,193
1275,194
1252,195
1213,196
1150,197
1211,198
1250,199
1217,200
1238,201
1200,202
1321,203
1242,204
1286,205
1221,206
1195,207
1194,208
1253,209
1247,210
1183,211
1187,212
1170,213
1212,214
1155,215
1262,216
1303,217
1177,218
1288,219
1232,220
1285,221
1198,222
1190,223
1283,224
1199,225
1220,226
1244,227
1301,228
1236,229
1226,230
1219,231
1215,232
1205,233
1203,234
1235,235
1322,236
1312,237
1209,238
1323,239
1324,240
1325,241
1266,242
1287,243
1297,244
1269,245
1326,246
1245,247
1259,248
1241,249
1229,250
1237,251
1261,252
1248,253
1327,254
1246,255
1206,256
1290,257
1293,258
1328,259
1329,260
1249,261
1281,262
1276,263
1273,264
1307,265
1258,266
1309,267
1311,268
1267,269
1265,270
1268,271
1330,272
1331,273
1260,274
1332,275
1216,276
1316,277
1333,278
1334,279
1264,280
1306,281
1335,282
1336,283
1337,284
1284,285
1317,286
1292,287
1338,288
1339,289
1668,290
1193,291
1299,292
1227,293
1340,294
1341,295
1342,296
1263,297
1305,298
1343,299
1272,300
1282,301
1291,302
1230,303
1344,304
1278,305
1345,306
1346,307
1347,308
1348,309
1308,310
1239,311
1315,312
1349,313
1271,314
1350,315
1351,316
1352,317
1298,318
1353,319
1354,320
1355,321
1254,322
1356,323
1357,324
1358,325
1359,326
1360,327
1361,328
1362,329
1363,330
1364,331
1365,332
1204,333
1366,334
1223,335
1274,336
1367,337
1368,338
1304,339
1369,340
1370,341
1279,342
1371,343
1372,344
1289,345
1373,346
1374,347
1375,348
1376,349
1377,350
1378,351
1379,352
1380,353
1381,354
1382,355
1383,356
1255,357
1384,358
1295,359
1385,360
1386,361
1243,362
1387,363
1388,364
1296,365
1389,366
1390,367
1391,368
1257,369
1392,370
1393,371
1394,372
1395,373
1396,374
1397,375
1398,376
1399,377
1400,378
1401,379
1402,380
1403,381
1404,382
1405,383
1406,384
1302,385
1407,386
1408,387
1409,388
1410,389
1411,390
1412,391
1413,392
1414,393
1415,394
1416,395
1417,396
1418,397
1419,398
1420,399
1314,400
1421,401
1422,402
1423,403
1424,404
1425,405
1426,406
1427,407
1428,408
1429,409
1430,410
1431,411
1432,412
1433,413
1434,414
1669,415
1435,416
1436,417
1437,418
1438,419
1439,420
1440,421
1441,422
1442,423
1443,424
1444,425
1445,426
1446,427
1447,428
1294,429
1448,430
1449,431
1450,432
1451,433
1452,434
1453,435
1454,436
1455,437
1456,438
1457,439
1458,440
1459,441
1460,442
1461,443
1462,444
1463,445
1464,446
1310,447
1465,448
1466,449
1467,450
1468,451
1469,452
1470,453
1471,454
1472,455
1473,456
1474,457
1475,458
1476,459
1477,460
1478,461
1479,462
1480,463
1481,464
1482,465
1483,466
1484,467
1485,468
1486,469
1487,470
1488,471
1489,472
1490,473
1491,474
1492,475
1493,476
1494,477
1495,478
1496,479
1497,480
1498,481
1499,482
1500,483
1501,484
1502,485
1503,486
1504,487
1505,488
1506,489
1507,490
1508,491
1509,492
1510,493
1511,494
1512,495
1513,496
1514,497
1515,498
1516,499
1517,500
1518,501
1519,502
1520,503
1521,504
1522,505
1523,506
1524,507
1525,508
1526,509
1527,510
1528,511
1529,512
1530,513
1531,514
1532,515
1533,516
1534,517
1535,518
1536,519
1537,520
1538,521
1539,522
1540,523
1541,524
1542,525
1543,526
1544,527
1545,528
1546,529
1547,530
1548,531
1549,532
1550,533
1551,534
1552,535
1553,536
1554,537
1555,538
1556,539
1557,540
1558,541
1559,542
1560,543
1561,544
1562,545
1563,546
1564,547
1565,548
1566,549
1567,550
1568,551
1569,552
1570,553
1571,554
1572,555
1573,556
1574,557
1575,558
1576,559
1577,560
1578,561
1579,562
1580,563
1581,564
1582,565
1583,566
1584,567
1585,568
1586,569
1587,570
1588,571
1589,572
1590,573
1591,574
1592,575
1593,576
1594,577
1595,578
1596,579
1597,580
1598,581
1599,582
1600,583
1601,584
1602,585
1603,586
1604,587
1605,588
1606,589
1607,590
1608,591
1609,592
1610,593
1611,594
1612,595
1613,596
1614,597
1615,598
1616,599
1617,600
1618,601
1619,602
1620,603
1621,604
1622,605
1623,606
1624,607
1625,608
1626,609
1627,610
1628,611
1629,612
1630,613
1631,614
1632,615
1633,616
1634,617
1635,618
1636,619
1637,620
1638,621
1639,622
1640,623
1641,624
1642,625
1643,626
1644,627
1645,628
1646,629
1647,630
1648,631
1649,632
1650,633
1651,634
1652,635
1653,636
1654,637
1655,638
1656,639
1657,640
1658,641
1659,642
1660,643
1661,644
1662,645
1663,646
1664,647
1665,648
1666,649
1667,650
