572,"University of Louisiana, Lafayette",University of Louisiana at Lafayette (Lafayette)
573,Texas Woman's University,Texas Woman's University (Denton)
574,Wayne State University,Wayne State University (Detroit)
575,Missouri State University,Missouri State University (Springfield)
576,Western Kentucky University,Western Kentucky University (Bowling Green)
577,Carson-Newman University,Carson–Newman University (Jefferson City)
579,Albright College,Albright College (Reading)
580,Benedictine University,Benedictine University (Lisle)
581,University of North Texas,University of North Texas (Denton)
582,Ashland University,Ashland University (Ashland)
583,Barry University,Barry University (Miami Shores)
584,Claflin University,Claflin University (Orangeburg)
585,Western Michigan University,Western Michigan University (Kalamazoo)
586,"Southern Illinois University, Carbondale",Southern Illinois University Carbondale (Carbondale)
587,Sam Houston State University,Sam Houston State University (Huntsville)
588,Murray State University,Murray State University (Murray)
589,North Carolina A&T State University,North Carolina Agricultural and Technical State University (Greensboro)
590,Illinois College,Illinois College (Jacksonville)
591,"University of Arkansas, Little Rock",University of Arkansas at Little Rock (Little Rock)
592,University of Mount Union,University of Mount Union (Alliance)
593,University of South Alabama,University of South Alabama (Mobile)
594,Kent State University,Kent State University (Kent)
595,Georgia Southern University,Georgia Southern University (Statesboro)
596,Fort Lewis College,Fort Lewis College (Durango)
597,University of West Florida,University of West Florida (Pensacola)
598,"University of Wisconsin, Milwaukee",University of Wisconsin–Milwaukee
599,Catawba College,Catawba College (Salisbury)
600,"University of Nevada, Las Vegas","University of Nevada, Las Vegas (Las Vegas)"
601,"University of Texas, Arlington",University of Texas at Arlington (Arlington)
603,Northern Illinois University,Northern Illinois University (DeKalb)
604,"Texas A&M University, Corpus Christi",Texas A&M University–Corpus Christi (Corpus Christi)
606,Idaho State University,Idaho State University (Pocatello)
607,"Indiana University-Purdue University, Indianapolis",Indiana University – Purdue University Indianapolis (Indianapolis)
608,Southeastern Louisiana University,Southeastern Louisiana University (Hammond)
609,University of Memphis,University of Memphis (Memphis)
610,University of Northern Colorado,University of Northern Colorado (Greeley)
611,University of Tampa,University of Tampa (Tampa)
612,Middle Tennessee State University,Middle Tennessee State University (Murfreesboro)
613,Oakland University,Oakland University (Rochester)
614,Florida Agricultural and Mechanical University,Florida A&M University (Tallahassee)
616,"Minnesota State University, Mankato","Minnesota State University, Mankato (Mankato)"
617,Stephen F. Austin State University,Stephen F. Austin State University (Nacogdoches)
618,Christian Brothers University,Christian Brothers University (Memphis)
619,University of Akron,University of Akron (Akron)
620,Northern Kentucky University,Northern Kentucky University (Highland Heights)
621,Kennesaw State University,Kennesaw State University (Kennesaw)
622,East Tennessee State University,East Tennessee State University (Johnson City)
623,Liberty University,Liberty University (Lynchburg)
624,Bowling Green State University,Bowling Green State University (Bowling Green)
625,Boise State University,Boise State University (Boise)
626,Central Michigan University,Central Michigan University (Mount Pleasant)
627,Western Illinois University,Western Illinois University (Macomb)
628,University of Toledo,University of Toledo (Toledo)
629,Indiana University of Pennsylvania,Indiana University of Pennsylvania (Indiana)
630,Troy University,Troy University (Troy)
631,"Texas A&M University, Kingsville",Texas A&M University–Kingsville (Kingsville)
632,Tuskegee University,Tuskegee University (Tuskegee)
633,Wright State University,Wright State University (Dayton)
634,Coastal Carolina University,Coastal Carolina University (Conway)
635,"University of Missouri, Kansas City",University of Missouri–Kansas City (Kansas City)
636,Eastern Michigan University,Eastern Michigan University (Ypsilanti)
637,University of Central Oklahoma,University of Central Oklahoma (Edmond)
638,Metropolitan State University of Denver,Metropolitan State University of Denver (Denver)
639,Columbia College Chicago,Columbia College Chicago (Chicago)
640,Youngstown State University,Youngstown State University (Youngstown)
641,"University of Texas, San Antonio",University of Texas at San Antonio (San Antonio)
642,Colorado Mesa University,Colorado Mesa University (Grand Junction)
643,Tennessee State University,Tennessee State University (Nashville)
644,"Texas A&M University, Commerce",Texas A&M University–Commerce (Commerce)
645,Eastern Kentucky University,Eastern Kentucky University (Richmond)
646,Cleveland State University,Cleveland State University (Cleveland)
647,Indiana State University,Indiana State University (Terre Haute)
648,Morgan State University,Morgan State University (Baltimore)
649,Texas Southern University,Texas Southern University (Houston)
650,Johnson & Wales University,Johnson & Wales University (Providence)
