120,Yeshiva University,Yeshiva University (New York City)
121,Muhlenberg College,Muhlenberg College (Allentown)
122,George Washington University,"George Washington University (Washington, D.C.)"
123,University of Redlands,University of Redlands (Redlands)
125,Bennington College,Bennington College (Bennington)
126,"University of California, San Diego","University of California, San Diego (San Diego)"
127,Case Western Reserve University,Case Western Reserve University (Cleveland)
128,University of Miami,University of Miami (Coral Gables)
129,Virginia Military Institute,Virginia Military Institute (Lexington city)
130,Willamette University,Willamette University (Salem)
131,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute (Troy)
132,Trinity University,Trinity University (San Antonio)
133,Juniata College,Juniata College (Huntingdon)
134,American University,"American University (Washington, D.C.)"
135,University of Delaware,University of Delaware (Newark)
136,College of Wooster,College of Wooster (Wooster)
137,"Texas A&M University, College Station",Texas A&M University (College Station)
138,Saint Lawrence University,St. Lawrence University (Canton)
139,University of Denver,University of Denver (Denver)
140,University of Vermont,University of Vermont (Burlington)
141,University of Utah,University of Utah (Salt Lake City)
142,Presbyterian College,Presbyterian College (Clinton)
143,Drake University,Drake University (Des Moines)
144,"University of California, Irvine","University of California, Irvine (Irvine)"
145,Ohio Wesleyan University,Ohio Wesleyan University (Delaware)
146,Clark University,Clark University (Worcester)
147,Tulane University,Tulane University (New Orleans)
148,Grove City College,Grove City College (Grove City)
149,Knox College,Knox College (Galesburg)
150,Fordham University,Fordham University (New York City)
151,Saint Michael's College,Saint Michael's College (Colchester)
152,Hendrix College,Hendrix College (Conway)
153,Colorado School of Mines,Colorado School of Mines (Golden)
154,Bard College,Bard College (Red Hook)
155,"Ohio State University, Columbus",Ohio State University (Columbus)
156,Creighton University,Creighton University (Omaha)
157,"California Polytechnic State University, San Luis Obispo",California Polytechnic State University (San Luis Obispo)
158,Syracuse University,Syracuse University (Syracuse)
159,Thomas Aquinas College,Thomas Aquinas College (Santa Paula)
160,Hobart and William Smith Colleges,Hobart and William Smith Colleges (Geneva)
161,Westmont College,Westmont College (Santa Barbara)
162,Saint John's College (MD),St. John's College (Annapolis)
163,Clemson University,Clemson University (Clemson)
164,University of Connecticut,University of Connecticut (Mansfield)
165,Beloit College,Beloit College
166,"Pennsylvania State University, University Park",Pennsylvania State University (University Park)
167,"North Carolina State University, Raleigh",North Carolina State University (Raleigh)
168,College of New Jersey,The College of New Jersey (Ewing Township)
169,Michigan State University,Michigan State University (East Lansing)
170,Loyola University Maryland,Loyola University Maryland (Baltimore)
171,Hampden-Sydney College,Hampden–Sydney College
172,Hope College,Hope College (Holland)
173,Worcester Polytechnic Institute,Worcester Polytechnic Institute (Worcester)
174,"SUNY, Binghamton (Binghamton University)",Binghamton University (Binghamton)
175,Wheaton College (Norton),Wheaton College (Norton)
176,"Miami University, Oxford",Miami University (Oxford)
177,"Rutgers University, New Brunswick",Rutgers University (New Brunswick)
178,Hillsdale College,Hillsdale College (Hillsdale)
179,Wabash College,Wabash College (Crawfordsville)
180,New College of Florida,New College of Florida (Sarasota)
181,University of Puget Sound,University of Puget Sound (Tacoma)
182,Elon University,Elon University (Elon)
183,Loyola Marymount University,Loyola Marymount University (Los Angeles)
184,Transylvania University,Transylvania University (Lexington)
185,University of New Hampshire,University of New Hampshire
186,"University of South Carolina, Columbia",University of South Carolina (Columbia)
187,University of Portland,University of Portland (Portland)
188,James Madison University,James Madison University (Harrisonburg)
